2018-11-22 11:30:50 status unpacked mawk:i386 1.3.3-17
2018-11-22 11:30:50 install tzdata:all <none> 2018e-0+deb8u1
2018-11-22 11:30:50 status half-installed tzdata:all 2018e-0+deb8u1
2018-11-22 11:30:53 status unpacked tzdata:all 2018e-0+deb8u1
2018-11-22 11:30:53 status unpacked tzdata:all 2018e-0+deb8u1
2018-11-22 11:30:53 install libc-bin:i386 <none> 2.19-18+deb8u10
2018-11-22 11:30:53 status half-installed libc-bin:i386 2.19-18+deb8u10
2018-11-22 11:30:53 status unpacked libc-bin:i386 2.19-18+deb8u10
2018-11-22 11:30:53 status unpacked libc-bin:i386 2.19-18+deb8u10
2018-11-22 11:30:53 upgrade base-files:i386 8+deb8u11 8+deb8u11
2018-11-22 11:30:53 status half-configured base-files:i386 8+deb8u11
2018-11-22 11:30:53 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:53 status half-installed base-files:i386 8+deb8u11
2018-11-22 11:30:54 status half-installed base-files:i386 8+deb8u11
2018-11-22 11:30:54 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:54 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:54 install passwd:i386 <none> 1:4.2-3+deb8u4
2018-11-22 11:30:54 status half-installed passwd:i386 1:4.2-3+deb8u4
2018-11-22 11:30:55 status unpacked passwd:i386 1:4.2-3+deb8u4
2018-11-22 11:30:55 status unpacked passwd:i386 1:4.2-3+deb8u4
2018-11-22 11:30:55 install libslang2:i386 <none> 2.3.0-2
2018-11-22 11:30:55 status half-installed libslang2:i386 2.3.0-2
2018-11-22 11:30:55 status unpacked libslang2:i386 2.3.0-2
2018-11-22 11:30:55 status unpacked libslang2:i386 2.3.0-2
2018-11-22 11:30:55 install libcomerr2:i386 <none> 1.42.12-2+b1
2018-11-22 11:30:55 status half-installed libcomerr2:i386 1.42.12-2+b1
2018-11-22 11:30:55 status unpacked libcomerr2:i386 1.42.12-2+b1
2018-11-22 11:30:55 status unpacked libcomerr2:i386 1.42.12-2+b1
2018-11-22 11:30:55 install tar:i386 <none> 1.27.1-2+deb8u1
2018-11-22 11:30:55 status half-installed tar:i386 1.27.1-2+deb8u1
2018-11-22 11:30:56 status unpacked tar:i386 1.27.1-2+deb8u1
2018-11-22 11:30:56 status unpacked tar:i386 1.27.1-2+deb8u1
2018-11-22 11:30:56 install libblkid1:i386 <none> 2.25.2-6
2018-11-22 11:30:56 status half-installed libblkid1:i386 2.25.2-6
2018-11-22 11:30:56 status unpacked libblkid1:i386 2.25.2-6
2018-11-22 11:30:56 status unpacked libblkid1:i386 2.25.2-6
2018-11-22 11:30:56 install libuuid1:i386 <none> 2.25.2-6
2018-11-22 11:30:56 status half-installed libuuid1:i386 2.25.2-6
2018-11-22 11:30:56 status unpacked libuuid1:i386 2.25.2-6
2018-11-22 11:30:56 status unpacked libuuid1:i386 2.25.2-6
2018-11-22 11:30:56 install libaudit1:i386 <none> 1:2.4-1+b1
2018-11-22 11:30:56 status half-installed libaudit1:i386 1:2.4-1+b1
2018-11-22 11:30:56 status unpacked libaudit1:i386 1:2.4-1+b1
2018-11-22 11:30:56 status unpacked libaudit1:i386 1:2.4-1+b1
2018-11-22 11:30:56 upgrade dpkg:i386 1.17.27 1.17.27
2018-11-22 11:30:56 status half-configured dpkg:i386 1.17.27
2018-11-22 11:30:56 status unpacked dpkg:i386 1.17.27
2018-11-22 11:30:56 status half-installed dpkg:i386 1.17.27
2018-11-22 11:30:56 status half-installed dpkg:i386 1.17.27
2018-11-22 11:30:56 status unpacked dpkg:i386 1.17.27
