2019-11-20 12:16:17 install sed:i386 <none> 4.4-1
2019-11-20 12:16:17 status half-installed sed:i386 4.4-1
2019-11-20 12:16:17 status unpacked sed:i386 4.4-1
2019-11-20 12:16:17 status unpacked sed:i386 4.4-1
2019-11-20 12:16:17 install sensible-utils:all <none> 0.0.9+deb9u1
2019-11-20 12:16:17 status half-installed sensible-utils:all 0.0.9+deb9u1
2019-11-20 12:16:17 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-11-20 12:16:17 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-11-20 12:16:17 install sysvinit-utils:i386 <none> 2.88dsf-59.9
2019-11-20 12:16:17 status half-installed sysvinit-utils:i386 2.88dsf-59.9
2019-11-20 12:16:17 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2019-11-20 12:16:17 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2019-11-20 12:16:18 install tar:i386 <none> 1.29b-1.1
2019-11-20 12:16:18 status half-installed tar:i386 1.29b-1.1
2019-11-20 12:16:18 status unpacked tar:i386 1.29b-1.1
2019-11-20 12:16:18 status unpacked tar:i386 1.29b-1.1
2019-11-20 12:16:18 install tzdata:all <none> 2019b-0+deb9u1
2019-11-20 12:16:18 status half-installed tzdata:all 2019b-0+deb9u1
2019-11-20 12:16:18 status unpacked tzdata:all 2019b-0+deb9u1
2019-11-20 12:16:19 status unpacked tzdata:all 2019b-0+deb9u1
2019-11-20 12:16:19 install util-linux:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:19 status half-installed util-linux:i386 2.29.2-1+deb9u1
2019-11-20 12:16:19 status unpacked util-linux:i386 2.29.2-1+deb9u1
2019-11-20 12:16:19 status unpacked util-linux:i386 2.29.2-1+deb9u1
2019-11-20 12:16:19 install zlib1g:i386 <none> 1:1.2.8.dfsg-5
2019-11-20 12:16:19 status half-installed zlib1g:i386 1:1.2.8.dfsg-5
2019-11-20 12:16:19 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2019-11-20 12:16:19 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2019-11-20 12:16:20 startup packages configure
2019-11-20 12:16:20 configure gcc-6-base:i386 6.3.0-18+deb9u1 <none>
2019-11-20 12:16:20 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
